md_screen_rank,screen_group,candidate,md_screen_score,sim_ns,n_frames,ca_rmsd_last20pct_mean_A,ligand_rmsd_last20pct_mean_A,pl_min_distance_last20pct_mean_A,pl_contacts_4A_last20pct_mean,ca_rmsf_mean_A,ca_rmsf_max_A,protein_rg_last20pct_mean_A,protein_rg_last20pct_std_A,topology,trajectory,ligand_resname,n_atoms,protein_atoms,ca_atoms,ligand_atoms,ca_rmsd_final_A,ca_rmsd_last20pct_std_A,ligand_rmsd_final_A,ligand_rmsd_last20pct_std_A,pl_com_distance_last20pct_mean_A
1,recommended,rank074_GWHPBECS039786,0.10600000000000001,2.0,200,1.0195511864065672,0.9614155277609824,2.189360664884248,366.975,0.6028928677892177,1.646840458761097,21.96588659286499,0.0363657484411263,neg_fix_v1_top200/rank074_GWHPBECS039786/work/solv_ions.gro,neg_fix_v1_top200/rank074_GWHPBECS039786/outputs/prod.dcd,LIG,61672,7298,467,47,1.2072511281232334,0.0740197327260953,1.2502416372299194,0.161305754372245,9.882589134642831
2,recommended,rank100_GWHPBECS025958,0.115,2.0,200,1.1888533097801737,0.7074073880910874,2.0324432549187312,341.45,0.6559509067049971,6.143436646083563,22.307078504562377,0.0524412146690277,neg_fix_v1_top200/rank100_GWHPBECS025958/work/solv_ions.gro,neg_fix_v1_top200/rank100_GWHPBECS025958/outputs/prod.dcd,LIG,70125,7376,473,47,1.1290987269482835,0.0584059549506897,0.6768440008163452,0.1446808086737833,7.667463683075647
3,recommended,rank065_GWHPBECS011179,0.16825,2.0,200,1.2143515210991562,0.993183970451355,2.1008653985110364,350.7,0.6990436642033259,2.1516857454339178,21.98931827545166,0.0518441344139018,neg_fix_v1_top200/rank065_GWHPBECS011179/work/solv_ions.gro,neg_fix_v1_top200/rank065_GWHPBECS011179/outputs/prod.dcd,LIG,65689,6865,441,47,1.0728445088359986,0.1412184965994417,1.2693355083465576,0.2498689301008311,10.37524425653606
4,recommended,rank055_GWHPBECS039787,0.175,2.0,200,1.1128564528650504,0.929342083632946,2.233752025177985,329.35,0.6364548789233888,2.188911167325348,22.226328945159917,0.0435981392600575,neg_fix_v1_top200/rank055_GWHPBECS039787/work/solv_ions.gro,neg_fix_v1_top200/rank055_GWHPBECS039787/outputs/prod.dcd,LIG,67857,7307,467,47,1.0830540293161228,0.0547379604697799,0.8933361768722534,0.1418900297410266,11.217619878803188
5,recommended,rank001_GWHPBECS001198,0.17500000000000002,2.0,200,1.3081199357951347,0.8334607541561126,2.139496508926245,333.325,0.7415708608951942,3.800482291013755,22.67569832801819,0.0350488661134355,neg_fix_v1_top10/rank001_GWHPBECS001198/work/solv_ions.gro,neg_fix_v1_top10/rank001_GWHPBECS001198/outputs/prod.dcd,LIG,75786,7308,466,47,1.2336916255131494,0.0517117079848446,1.0336883068084717,0.1255114350625751,6.712091389661796
6,recommended,rank130_GWHPBECS026447,0.18425,2.0,200,1.3224484861862624,1.033222636580467,2.049226137352812,346.3,0.6933299715830344,3.57474293660368,22.525166845321657,0.0528028805083442,neg_fix_v1_top200/rank130_GWHPBECS026447/work/solv_ions.gro,neg_fix_v1_top200/rank130_GWHPBECS026447/outputs/prod.dcd,LIG,56459,7601,475,47,1.3360310705513831,0.0430193908823454,1.2684388160705566,0.1461008367321243,8.336251625114821
7,recommended,rank134_GWHPBECS005379,0.18625,2.0,200,1.3526386302231566,1.3741988092660904,2.0874980976415336,362.175,0.6659771817355855,2.659383556778777,22.059290075302123,0.043917384541295,neg_fix_v1_top200/rank134_GWHPBECS005379/work/solv_ions.gro,neg_fix_v1_top200/rank134_GWHPBECS005379/outputs/prod.dcd,LIG,67576,7232,460,47,1.3826705175165663,0.0744383581982909,1.4232134819030762,0.1225853951570195,7.86819659072267
8,recommended,rank150_GWHPBECS026461,0.20325000000000001,2.0,200,1.2408920034171156,1.3628523111343385,2.144934927223374,350.55,0.6847170943001867,2.453597220870096,21.956307220458985,0.0461746283066775,neg_fix_v1_top200/rank150_GWHPBECS026461/work/solv_ions.gro,neg_fix_v1_top200/rank150_GWHPBECS026461/outputs/prod.dcd,LIG,68523,7338,460,47,1.1343353986264877,0.0482787593200956,1.1105788946151731,0.1830785341697194,13.556296729158628
9,recommended,rank024_GWHPBECS013086,0.21150000000000002,2.0,200,1.446054589230924,0.9019491612911223,2.022942765361955,394.725,0.6792103122777922,6.054682449661085,22.185363721847533,0.0568593878314117,neg_fix_v1_top200/rank024_GWHPBECS013086/work/solv_ions.gro,neg_fix_v1_top200/rank024_GWHPBECS013086/outputs/prod.dcd,LIG,74239,7092,455,47,1.4759892269103874,0.0543223008009052,0.8978634476661682,0.1245890775733995,5.343470893930183
10,recommended,rank189_GWHPBECS034592,0.2185,2.0,200,1.2292309530961745,1.4915116280317309,2.172403650228848,331.425,0.6672160926395584,3.6552756650936473,22.682860708236696,0.0425675980747615,neg_fix_v1_top200/rank189_GWHPBECS034592/work/solv_ions.gro,neg_fix_v1_top200/rank189_GWHPBECS034592/outputs/prod.dcd,LIG,65768,7633,485,47,1.1602709759711969,0.0518562684543628,1.345268726348877,0.2316456516147785,10.301876607153517
